ID,DATE_,SEQID,CITY,CITY2,_1DOSE,_2DOSE,_TOTAL,POPULATION,DIFF_1DOSE,DIFF_2DOSE,DIFF_TOTAL,PREVID
438102,26.06.2021 22:41,5412,Adana,Adana,784464,355404,1139868,2258718,15,0,15,438021
438103,26.06.2021 22:41,5412,Adıyaman,Adiyaman,170847,77955,248802,632459,2,0,2,438022
438104,26.06.2021 22:41,5412,Afyonkarahisar,Afyon,292611,138934,431545,736912,8,0,8,438023
438105,26.06.2021 22:41,5412,Ağrı,Agri,94807,41146,135953,535435,0,0,0,438024
438106,26.06.2021 22:41,5412,Aksaray,Aksaray,131889,62603,194492,423011,3,0,3,438025
438122,26.06.2021 22:41,5412,Bursa,Bursa,1272038,550539,1822577,3101833,41,4,45,438041
438123,26.06.2021 22:41,5412,Çanakkale,Canakkale,298662,161433,460095,541548,0,0,0,438042
438124,26.06.2021 22:41,5412,Çankırı,Cankiri,81521,45799,127320,192428,1,0,1,438043
438125,26.06.2021 22:41,5412,Çorum,Corum,238440,121891,360331,530126,5,0,5,438044
438126,26.06.2021 22:41,5412,Denizli,Denizli,475605,212478,688083,1040915,12,1,13,438045
438127,26.06.2021 22:41,5412,Diyarbakır,Diyarbakir,307868,134167,442035,1783431,4,0,4,438046
438128,26.06.2021 22:41,5412,Düzce,Duzce,158046,73865,231911,395679,0,0,0,438047
438129,26.06.2021 22:41,5412,Edirne,Edirne,226150,123707,349857,407763,2,1,3,438048
438130,26.06.2021 22:41,5412,Elazığ,Elazig,191848,101103,292951,587960,1,0,1,438049
438131,26.06.2021 22:41,5412,Erzincan,Erzincan,91827,48554,140381,234431,3,0,3,438050
438132,26.06.2021 22:41,5412,Erzurum,Erzurum,212225,106493,318718,758279,4,0,4,438051
